name,source,gender,wikidata,type
"Ewy i Karola Maleczyńskich",wikidata,+,Q11736185;Q9256757,way
"Heleny i Ludwika Adamczewskich",wikidata,+,Q100591031;Q9287272,way
"bulwar Marii i Lecha Kaczyńskich",wikidata,+,Q215342;Q2757,way
"Danuty Siedzikówny",wikidata,F,Q45379,way
"Haliny Konopackiej",wikidata,F,Q238056,way
"Heleny Motykówny",wikidata,F,Q118364071,way
"Marii Curie-Skłodowskiej",wikidata,F,Q7186,way
"Marii Konopnickiej",wikidata,F,Q257852,way
"Zofii Gumińskiej",wikidata,F,Q20640155,way
"Aleja Aleksandra Brücknera",wikidata,M,Q112029,way
"Aleja Generała Józefa Hallera",wikidata,M,Q698651,way
"Aleja Jana III Sobieskiego",wikidata,M,Q53454,way
"Aleja Jana Kasprowicza",wikidata,M,Q962432,way
"Aleja Marcina Kromera",wikidata,M,Q66649,way
"Aleja Tadeusza Boya-Żeleńskiego",wikidata,M,Q699597,way
"Andrzeja Frydeckiego",wikidata,M,Q12078226,way
"Andrzeja Waligórskiego",wikidata,M,Q9153879,way
"Artura Oppmana",wikidata,M,Q8863973,way
"Benedykta Polaka",wikidata,M,Q816911,way
"Biskupa Ignacego Krasickiego",wikidata,M,Q380545,way
"Bolesława Krzywoustego",wikidata,M,Q53441,way
"Bolesława Leśmiana",wikidata,M,Q891324,way
"Cypriana Kamila Norwida",wikidata,M,Q340122,way
"Eugeniusza Geta-Stankiewicza",wikidata,M,Q11697288,way
"Franciszka Karpińskiego",wikidata,M,Q3547,way
"Generała Leopolda Okulickiego",wikidata,M,Q569390,way
"Generała Tadeusza Bora-Komorowskiego",wikidata,M,Q170356,way
"Hansa Poelziga",wikidata,M,Q76734,way
"Heinricha Lauterbacha",wikidata,M,Q102153,way
"Henryka Michała Kamieńskiego",wikidata,M,Q4211370,way
"Hugona Steinhausa",wikidata,M,Q226072,way
"Ignacego Chrzanowskiego",wikidata,M,Q832936,way
"Ignacego Mościckiego",wikidata,M,Q310594,way
"Jana Brzechwy",wikidata,M,Q508990,way
"Jana Długosza",wikidata,M,Q326493,way
"Jana Ewangelisty Purkyniego",wikidata,M,Q159542,way
"Józefa Supińskiego",wikidata,M,Q6320673,way
"Juliana Klaczki",wikidata,M,Q446743,way
"Juliana Tuwima",wikidata,M,Q376278,way
"Kazimierza Bieńkowskiego",wikidata,M,Q11737707,way
"Kazimierza Brodzińskiego",wikidata,M,Q2941038,way
"Kornela Makuszyńskiego",wikidata,M,Q1028469,way
"Kornela Ujejskiego",wikidata,M,Q647455,way
"Krzysztofa Kamila Baczyńskiego",wikidata,M,Q558722,way
"Księdza Piotra Skargi",wikidata,M,Q712463,way
"Księdza Piotra Wawrzyniaka",wikidata,M,Q7197023,way
"Leopolda Staffa",wikidata,M,Q223230,way
"Ludwika Nabielaka",wikidata,M,Q11763871,way
"Mariana Morelowskiego",wikidata,M,Q11769579,way
"Mariana Smoluchowskiego",wikidata,M,Q541895,way
"Maurycego Mochnackiego",wikidata,M,Q1340629,way
"Maxa Berga",wikidata,M,Q67034,way
"Mieczysława Romanowskiego",wikidata,M,Q4893322,way
"Mieczysława Zlata",wikidata,M,Q11780082,way
"Plac Gustawa Daniłowskiego",wikidata,M,Q5849782,way
"Plac Ludwika Zamenhofa",wikidata,M,Q11758,way
"Plac Marszałka Józefa Piłsudskiego",wikidata,M,Q885,way
"Plac Maxa Borna",wikidata,M,Q58978,way
"Rondo Raoula Wallenberga",wikidata,M,Q152850,way
"Rondo Ronalda Reagana",wikidata,M,Q9960,way
"Seweryna Goszczyńskiego",wikidata,M,Q1254858,way
"Stanisława Piętaka",wikidata,M,Q7943472,way
"Stanisława Przybyszewskiego",wikidata,M,Q921405,way
"Tadeusza Brzozy",wikidata,M,Q16609366,way
"Tadeusza Gajcego",wikidata,M,Q2529964,way
"Tadeusza Micińskiego",wikidata,M,Q1856908,way
"Tadeusza Zelenaya",wikidata,M,Q9355062,way
"Tarasa Szewczenki",wikidata,M,Q134958,way
"Teofila Lenartowicza",wikidata,M,Q739286,way
"Wacława Berenta",wikidata,M,Q2441886,way
"Wiktora Brossa",wikidata,M,Q9373976,way
"Wincentego Pola",wikidata,M,Q133465,way
"Witolda Lipińskiego",wikidata,M,Q9375743,way
"Wojciecha Korfantego",wikidata,M,Q62006,way
"Władysława Nehringa",wikidata,M,Q4317486,way
"Władysława Syrokomli",wikidata,M,Q472576,way
"Włodzimierza Perzyńskiego",wikidata,M,Q8028923,way
"Zenona Miriama Przesmyckiego",wikidata,M,Q189739,way
"Zygmunta Janiszewskiego",wikidata,M,Q245335,way
"Zygmunta Krasińskiego",wikidata,M,Q245355,way
"bulwar Xawerego Dunikowskiego",wikidata,M,Q923116,way
"pasaż Adolfa Radinga",wikidata,M,Q72148,way
"rondo Bohdana Karabona",wikidata,M,Q73387157,way
"Świętego Jerzego",wikidata,M,Q48438,way
